Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
167,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",3,-,-
168,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,-,-
169,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",1,-,-
170,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",11,-,-
171,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",10,-,-
172,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,5,-,-
173,"66 Средно училище ""Филип Станиславов""",3935,Предприемачески,4,-,-
174,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ,0,-,-
175,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ,0,-,-
176,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, РЕ",2,-,-
177,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",1,-,-
178,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0360,"Чужди езици - АЕ интензивно, НЕ",0,-,-
179,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0361,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",0,-,-
180,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0363,"Чужди езици - АЕ интензивно, ФЕ",0,-,-
181,"71 Средно училище ""Пейо Яворов""",1725,Икономическо развитие,2,-,-
182,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2651,"Чужди езици - НЕ интензивно, РЕ",0,0,1
183,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2656,"Чужди езици - НЕ интензивно, ФЕ",0,0,1
