"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 11.07.2022
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Миниманлен бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
120,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",352.5,355.5,352.5,427,379,427
121,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хумантарни науки - АЕ интензивно, НЕ",352,352,352,407,377,407
122,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Предприемачески - АЕ интензивно, ИЕ",351,351,351,393,393,376
123,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",350.75,350.75,350.75,403.25,370.5,403.25
124,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,349.75,349.75,351.25,398,396.25,398
125,2204134,"134. средно училище ""Димчо Дебелянов""",1961,Природни науки - АЕ интензивно /Иврит,348.5,348.5,348.5,426,378,426
126,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,347.75,347.75,361.5,405.75,405.75,385.25
127,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",4092,Компютърна графика - АЕ,347.5,347.5,348,452,429.75,452
128,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",347,347,347.5,393.5,393.5,393
129,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,346.75,348,346.75,429.25,429.25,396.25
130,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",346.5,346.5,347,409,399.5,409
131,2222012,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",346.5,348,346.5,389,374,389
132,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,345.5,345.5,0,427.5,427.5,0
133,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1308,Природни науки - ИЕ интензивно,344.5,346,344.5,432,377,432
